--- DANH SÁCH WAYPOINTS [x, y, yaw] ---
[-0.042, -0.046, 0.045],
[-4.534, -5.00, 3.116],
[0.154, -7.562, 3.067],
[3.042, -9.35, -1.503],
[9.604, -10.42, -1.555],
[14.0, -9.902, 3.052],
[17.555, -10.146, 3.077],
[28.005, -10.899, 3.055],
[31.289, -11.202, 3.087],
[34.960, -11.425, 3.099],
[42.856, -11.224, 0.055],
[43.219, 3.704, 1.463],
[37.529, 5.806, -3.087],
[33.794, 6.156, 3.052],
[30.160, 6.789, 3.110],
[23.403, 6.974, -3.101],
[10.753, 9.0, 1.546],
[4.338, 9.617, 1.768],
[1.241, 7.094, 2.930],
[-2.877, 5.049, -3.005],
[17.804, -0.218, -0.055],
[17.806, -2.531, 0.053],
[25.462, -4.690, -0.116],
[25.654, 0.919, 0.148],
[33.232, -0.358, -0.131],
[31.764, -5.195, -0.147],
